area,barthrooms,bedrooms,latitude,longitude,postal_code,region,retail_price,street_address
,1ba,2bd,40.765976,-73.95283,10021,"NY, ","$585,000",520 E 72nd St #4S
760 sqft,1ba,1bd,40.719296,-73.98718,10002,"NY, ","$1,200,000",115 Norfolk St #302
500 sqft,1ba,,40.812515,-73.958694,10027,"NY, ","$285,000",80 La Salle St #16E
,2ba,1bd,40.77771,-73.95799,10028,"NY, ","$1,925,000",112 E 83rd St #Phb
,4ba,5bd,40.791546,-73.96709,10025,"NY, ","$3,495,000",46 W 95th St #Phr
,2ba,1bd,40.766056,-73.977936,10019,"NY, ","$1,990,000",150 Central Park S #7-3
"1,633 sqft",3ba,3bd,40.77232,-73.95928,10021,"NY, ","$3,575,000",188 E 76th St #21B
,1ba,2bd,40.804157,-73.96523,10025,"NY, ","$1,200,000",528 W 111th St #35
,1ba,1bd,40.739872,-73.982765,10010,"NY, ","$715,000",330 3rd Ave #3F
950 sqft,1ba,2bd,40.764317,-73.9776,10019,"NY, ","$749,000",100 W 57th St #14K
590 sqft,1ba,,40.748444,-73.975784,10016,"NY, ","$965,000",591 3rd Ave #11D
,2ba,2bd,40.76703,-73.97057,10065,"NY, ","$3,495,000",825 5th Ave #14D
"1,409 sqft",2ba,2bd,40.706978,-74.01696,10004,"NY, ","$2,750,000",70 Little West St #27C
631 sqft,1ba,1bd,40.73097,-73.98251,10009,"NY, ","$749,995",224 1st Ave #3B
,2ba,2bd,40.76986,-73.95935,10021,"NY, ","$1,450,000",210 E 73rd St #9E
652 sqft,1ba,1bd,40.709854,-74.01789,10280,"NY, ","$1,002,000",377 Rector Pl #17F
"5,019 sqft",4ba,3bd,40.7193,-74.00726,10013,"NY, ","$13,900,000",140 Franklin St #6A
749 sqft,1ba,,40.740658,-73.993904,10011,"NY, ","$1,395,000",650 Avenue Of The Americas #4C
"1,500 sqft",2ba,2bd,40.755592,-73.96143,10022,"NY, ","$2,275,000",45 Sutton Pl S #5K
"4,100 sqft",4ba,2bd,40.76516,-73.967865,10065,"NY, ","$3,500,000",575 Park Ave #1501
594 sqft,1ba,1bd,40.709854,-74.01789,10280,"NY, ","$787,000",377 Rector Pl #9L
"2,748 sqft",4ba,4bd,40.78135,-73.981834,10023,"NY, ","$7,290,000",235 W 75th St #712
"3,000 sqft",5ba,4bd,40.777386,-73.956894,10028,"NY, ","$3,375,000",140 E 83rd St #11DE/10D
"1,160 sqft",2ba,2bd,40.760376,-73.96068,10022,"NY, ","$2,149,000",401 E 60th St #36B
768 sqft,1ba,1bd,40.74667,-73.97291,10016,"NY, ","$995,000",330 E 38th St #16C
,1ba,1bd,40.74207,-74.00264,10011,"NY, ","$685,000",332 W 17th St #3E
"1,718 sqft",3ba,3bd,40.77449,-73.99078,10069,"NY, ","$4,000,000",60 Riverside Blvd #2401
"5,000 sqft",11ba,6bd,40.776085,-73.944435,10128,"NY, ","$16,500,000",170 E End Ave #8EF
,4ba,5bd,40.791546,-73.96709,10025,"NY, ","$3,495,000",46 W 95th St #R
788 sqft,2ba,1bd,40.757324,-73.96715,10022,"NY, ","$1,180,000",250 E 54th St #37C
